datetime,consumption_mw,temperature,hour,day_of_week,month,year
2023-01-01 00:00:00,1111.0036565115242,19.540380900881967,0,6,1,2023
2023-01-01 01:00:00,1156.9118942196064,24.692564020635974,1,6,1,2023
2023-01-01 02:00:00,1268.5752695388908,15.811009981350214,2,6,1,2023
2023-01-01 03:00:00,1374.4858166966685,18.00416393352741,3,6,1,2023
2023-01-01 04:00:00,1334.3136888059148,24.818475565310823,4,6,1,2023
2023-01-01 05:00:00,1364.2960833324585,20.651558316362962,5,6,1,2023
2023-01-01 06:00:00,1465.1972709550132,22.912728090740995,6,6,1,2023
2023-01-01 07:00:00,1414.3975614104568,26.41194117214591,7,6,1,2023
2023-01-01 08:00:00,1322.5934257911217,18.176787088632054,8,6,1,2023
2023-01-01 09:00:00,1325.5310073742469,19.960257328961426,9,6,1,2023
2023-01-01 10:00:00,1213.1115330848081,19.440919639544905,10,6,1,2023
2023-01-01 11:00:00,1140.6530904641218,14.394421328887693,11,6,1,2023
2023-01-01 12:00:00,1098.403425076627,19.327009931069615,12,6,1,2023
2023-01-01 13:00:00,913.007032621126,22.901386904479516,13,6,1,2023
2023-01-01 14:00:00,850.0823136455673,21.879968967774243,14,6,1,2023
2023-01-01 15:00:00,846.093241339653,22.11544985050155,15,6,1,2023
2023-01-01 16:00:00,775.9019218920598,19.13167340041902,16,6,1,2023
2023-01-01 17:00:00,812.2971646736028,18.289908634320597,17,6,1,2023
2023-01-01 18:00:00,740.9727890409458,24.065967358033383,18,6,1,2023
2023-01-01 19:00:00,725.9925067499682,18.76624890326451,19,6,1,2023
2023-01-01 20:00:00,899.8717039006463,21.140446458717165,20,6,1,2023
2023-01-01 21:00:00,862.987484096056,20.748204384370137,21,6,1,2023
2023-01-01 22:00:00,939.7961905971899,24.643351391108876,22,6,1,2023
2023-01-01 23:00:00,937.5481044078116,23.1724374153546,23,6,1,2023
2023-01-02 00:00:00,1179.9399113730155,16.630548312339823,0,0,1,2023
2023-01-02 01:00:00,1290.3623375019708,16.953664674016068,1,0,1,2023
